Total linear dimensions: 49
dim 0: text='70 mm' dist=70.0mm  p1=(50055 mm, -45442.000001 mm, 170.0 mm) p2=(50125 mm, -45442.000001 mm, 170.0 mm)
dim 1: text='140 mm' dist=140.0mm  p1=(50055 mm, -45442.000001 mm, 170.0 mm) p2=(50195 mm, -45442.000001 mm, 170.0 mm)
dim 2: text='210 mm' dist=210.0mm  p1=(50055 mm, -43947.000001 mm, 170.0 mm) p2=(50265 mm, -43947.000001 mm, 170.0 mm)
dim 3: text='375 mm' dist=375.0mm  p1=(50055 mm, -43947.000001 mm, 170.0 mm) p2=(50430 mm, -43947.000001 mm, 170.0 mm)
dim 4: text='545 mm' dist=545.0mm  p1=(50055 mm, -44347.000001 mm, 170.0 mm) p2=(50600 mm, -44347.000001 mm, 170.0 mm)
dim 5: text='575 mm' dist=575.0mm  p1=(50055 mm, -43947.000001 mm, 170.0 mm) p2=(50630 mm, -43947.000001 mm, 170.0 mm)
dim 6: text='810 mm' dist=810.0mm  p1=(50055 mm, -43947.000001 mm, 170.0 mm) p2=(50865 mm, -43947.000001 mm, 170.0 mm)
dim 7: text='845 mm' dist=845.0mm  p1=(50055 mm, -44347.000001 mm, 170.0 mm) p2=(50900 mm, -44347.000001 mm, 170.0 mm)
dim 8: text='880 mm' dist=880.0mm  p1=(50055 mm, -43947.000001 mm, 170.0 mm) p2=(50935 mm, -43947.000001 mm, 170.0 mm)
dim 9: text='1145 mm' dist=1145.0mm  p1=(50055 mm, -44347.000001 mm, 170.0 mm) p2=(51200 mm, -44347.000001 mm, 170.0 mm)
dim 10: text='1345 mm' dist=1345.0mm  p1=(50055 mm, -44347.000001 mm, 170.0 mm) p2=(51400 mm, -44347.000001 mm, 170.0 mm)
dim 11: text='1981 mm' dist=1981.0mm  p1=(50055 mm, -43947.000001 mm, 170.0 mm) p2=(52036 mm, -43947.000001 mm, 170.0 mm)
dim 12: text='3911 mm' dist=3911.0mm  p1=(50055 mm, -44347.000001 mm, 170.0 mm) p2=(53966 mm, -44347.000001 mm, 170.0 mm)
dim 13: text='4851 mm' dist=4851.0mm  p1=(50055 mm, -43947.000001 mm, 170.0 mm) p2=(54906 mm, -43947.000001 mm, 170.0 mm)
dim 14: text='7079 mm' dist=7079.0mm  p1=(50055 mm, -45442.0 mm, 170.0 mm) p2=(57134 mm, -45442.0 mm, 170.0 mm)
dim 15: text='7149 mm' dist=7149.0mm  p1=(50055 mm, -45442.0 mm, 170.0 mm) p2=(57204 mm, -45442.0 mm, 170.0 mm)
dim 16: text='1981 mm' dist=1981.0mm  p1=(50055 mm, -42747.000001 mm, 170.0 mm) p2=(52036 mm, -42747.000001 mm, 170.0 mm)
dim 17: text='3364 mm' dist=3364.0mm  p1=(50055 mm, -42487.000001 mm, 170.0 mm) p2=(53419 mm, -42487.000001 mm, 170.0 mm)
dim 18: text='3434 mm' dist=3434.0mm  p1=(50055 mm, -42487.000001 mm, 170.0 mm) p2=(53489 mm, -42487.000001 mm, 170.0 mm)
dim 19: text='3649 mm' dist=3649.0mm  p1=(50055 mm, -42487.000001 mm, 170.0 mm) p2=(53704 mm, -42487.000001 mm, 170.0 mm)
dim 20: text='4049 mm' dist=4049.0mm  p1=(50055 mm, -42487.000001 mm, 170.0 mm) p2=(54104 mm, -42487.000001 mm, 170.0 mm)
dim 21: text='4449 mm' dist=4449.0mm  p1=(50055 mm, -42487.000001 mm, 170.0 mm) p2=(54504 mm, -42487.000001 mm, 170.0 mm)
dim 22: text='4849 mm' dist=4849.0mm  p1=(50055 mm, -42487.000001 mm, 170.0 mm) p2=(54904 mm, -42487.000001 mm, 170.0 mm)
